"Daily Weather Observations for Canberra, Australian Capital Territory for October 2017",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Tuesday 11 September 2018   IDCJDW2801.201710,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (¡C),Maximum temperature (¡C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (¡C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (¡C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,17/10/17,3.7,27.4,0,,,ENE,35,15:16,14.2,73,,ESE,11,1027.9,26.4,18,,NE,13,1023.9
,18/10/17,5.5,27.5,0,,,NE,35,19:35,15,70,5,SE,7,1028.2,26,30,,NE,11,1023.3
,19/10/17,9.2,27.3,0,,,NW,50,10:50,17.8,66,,W,6,1024.4,24.7,51,8,NW,30,1020.5
,20/10/17,14.2,21.1,11.2,,,ESE,33,13:20,16,93,7,SSW,2,1020.3,14,81,8,E,24,1020.4
,21/10/17,1.4,19.9,0.2,,,ENE,30,20:31,9.2,60,,ESE,11,1022.4,18.8,32,,N,11,1017.6
,22/10/17,9.1,19.1,0,,,SSW,37,15:18,12.8,66,2,NE,9,1014.7,17.3,41,8,WSW,13,1012.1
,23/10/17,3.1,22.6,0.4,,,NNW,26,15:26,11.8,67,,S,7,1018.7,21.3,15,,NNE,9,1016
,24/10/17,3.6,24.7,0,,,NW,41,11:39,13.9,59,,NNE,2,1019,21.3,33,8,WNW,26,1016.4
,25/10/17,12.5,25.8,0,,,NW,48,13:06,19.3,54,4,NW,19,1013.7,22.5,36,7,WNW,24,1011.1
,26/10/17,12.2,23.8,0.2,,,E,57,15:40,15.9,70,8,E,20,1007.2,21.4,50,2,ENE,28,1003.1
,27/10/17,10.8,22.7,15.2,,,S,30,02:12,14.6,73,8,S,17,1012.3,21.3,54,1,N,9,1010.8
,28/10/17,9.7,26.4,0.2,,,NW,43,15:08,16.8,77,1,NW,7,1012.1,25.3,41,1,NNW,22,1008.9
,29/10/17,11.2,25.4,1.2,,,NNW,48,13:18,16.8,76,8,NW,24,1009.9,24.4,44,1,NNW,33,1006.5
,30/10/17,9.7,21.5,0,,,NW,59,12:23,19.9,43,,NNW,24,1003.3,19.6,34,2,W,37,1005.4
,31/10/17,3.6,17.7,12.8,,,SSW,33,09:54,9.7,55,,SSW,17,1017.4,16,35,8,SSE,11,1013.4
,01/11/17,4.8,21.4,0,,,SSE,46,23:27,11.3,50,,S,28,1014.2,19.5,33,3,S,24,1010.4
,02/11/17,5.8,23.1,0,,,NNW,37,13:50,13.8,51,,SE,13,1013.6,20.5,41,8,NNW,17,1010.5
,03/11/17,4.3,19.7,0,,,W,59,11:24,14.6,66,3,NNW,9,1010.5,17.3,53,8,NNW,30,1011.2
,04/11/17,9.5,21.3,0,,,E,48,17:48,14.5,62,,NNE,20,1016.6,19.6,26,,NW,24,1014.6
,05/11/17,8.3,19.4,0,,,NE,48,16:35,12.9,59,8,ENE,11,1021.3,17.9,45,3,NE,26,1018
,06/11/17,10.4,14.6,20.8,,,S,48,15:55,11.1,99,8,S,15,1007.8,12.2,86,8,W,20,1005.5
,07/11/17,2.5,19.3,18.6,,,SSW,35,07:24,11.6,56,,S,28,1015.8,18.9,37,7,SSW,11,1014.9
,08/11/17,7,20.7,0,,,SE,31,04:23,10.9,49,,S,15,1025.3,18.9,33,,E,15,1023.2
,09/11/17,3.1,25.5,0,,,,,,13.8,64,,SE,6,1026.9,24.2,29,1,NW,15,1023.2
,10/11/17,4.5,25.6,0.2,,,ENE,43,17:52,16.2,39,,SW,6,1028,25.2,26,2,NNW,11,1023.7
,11/11/17,11.1,24.1,0.2,,,SSW,43,14:01,15.5,70,1,NNW,4,1027.3,20.6,49,8,SSW,20,1022.8
,12/11/17,13,23.5,0.2,,,ENE,35,19:20,15.5,65,8,NE,15,1025.1,22.1,42,8,NNE,13,1021.1
,13/11/17,11.6,22.8,0,,,E,33,17:23,14.6,64,8,ENE,11,1023.8,20.1,52,8,W,19,1020.6
,14/11/17,7.1,25.7,0,,,ENE,41,18:17,14.3,64,5,ENE,11,1022.9,24.8,39,2,NNE,13,1017.5
,15/11/17,8.2,28.2,0,,,NW,33,13:37,17.1,62,,SW,4,1019,26.8,26,,NNW,17,1013.9
,16/11/17,11,20.1,0,,,W,24,09:58,18.9,63,6, ,Calm,1014.6,18.5,72,8,WNW,11,1014.1
,17/11/17,12.9,24.3,2.4,,,E,46,17:20,18.8,73,8,ENE,15,1017,20.2,65,8,NE,11,1015.1
,18/11/17,14.5,19,1.8,,,E,50,17:38,16.1,78,8,E,17,1019.3,18.1,70,8,E,28,1019.2
,19/11/17,12.5,24.4,0.4,,,ENE,39,16:57,17.7,51,,E,22,1023.2,22.2,44,4,ENE,24,1022
,20/11/17,8.4,25.5,0,,,ENE,35,16:26,16.8,60,6,SE,13,1025.9,24.2,35,,E,13,1022.9
,21/11/17,7.4,26.1,0,,,NNE,39,10:45,15.9,59,,S,9,1024.4,24.8,27,,ENE,19,1020.7
,22/11/17,9.1,27.2,0,,,ENE,39,18:05,16.1,65,1,SW,6,1021.2,25.4,30,,NW,13,1016
,23/11/17,12.2,27,0,,,NNW,41,11:33,18.1,63,,NNE,7,1017,21.1,47,6,SW,26,1013.7
,24/11/17,8.9,29.8,0.8,,,SSE,70,13:52,17.5,66,5,WSW,4,1017.4,22.2,47,8,SE,24,1014.6
,25/11/17,10.9,31,1.4,,,SSE,54,17:26,20.5,57,,WSW,6,1018.7,28.9,21,1,ENE,13,1014.3
,26/11/17,11.4,25.9,0.2,,,WNW,26,13:52,19.6,63,,SSE,13,1016.8,20.9,63,8,SW,15,1015
,27/11/17,16.1,26.6,7.6,,,ESE,57,18:07,19.5,79,8,SE,6,1015,23.3,53,1,WNW,9,1014.7
,28/11/17,11.5,28.4,15.6,,,E,37,15:26,16.8,86,8,SSE,11,1020.7,26.9,37,3,ESE,17,1017.5
,29/11/17,16.4,29.1,0.2,,,E,37,17:48,20.3,63,8,SSW,9,1021,27.7,31,,SSE,11,1017.3
,30/11/17,12.8,30.6,0,,,ENE,37,19:27,19.9,67,,SW,6,1018.3,28.5,31,1,N,19,1013.8
,01/12/17,15,30.6,0,,,NW,56,14:50,23.6,61,1,NW,20,1014.5,27.5,45,7,NW,30,1009.2
,02/12/17,17.7,19.6,35.2,,,NNW,65,10:58,17.8,99,8,N,20,1004.6,16,88,8,NNW,28,1003.3
,03/12/17,12.2,19.9,18.4,,,NW,48,15:13,13.8,85,8,NNW,24,1005.7,19.3,61,1,NW,31,1006.1
,04/12/17,10.7,15.7,0.2,,,S,28,12:22,11.4,90,8,SSW,15,1011.2,12.4,87,8,SSE,17,1010.2
,05/12/17,11.4,20,6.6,,,SE,46,13:04,15.5,70,8,SSE,22,1008.6,17.6,58,8,SE,28,1005.9
,06/12/17,11.9,20.2,5.2,,,WNW,50,14:04,15.3,67,8,SSW,13,1002.7,17.8,63,8,WNW,28,1000.3
,07/12/17,8.7,26.7,0.2,,,WNW,54,10:24,18.5,56,,NW,7,1005.3,25.4,31,4,WNW,31,1003.9
,08/12/17,12,22.5,6.2,,,W,48,23:48,16,68,6,W,15,1009.6,21.4,32,,NW,17,1010.3
,09/12/17,7.8,25,0,,,N,33,13:16,15.2,66,2,NNW,6,1018.7,23.8,36,1,N,20,1016.4
,10/12/17,10.9,28,0,,,N,35,10:59,17.7,69,,S,6,1021.8,26.8,37,,N,17,1018.4
,11/12/17,12,29.7,0,,,E,43,18:05,20.3,66,,WSW,4,1019.7,28.8,31,,NW,20,1015.4
,12/12/17,16.4,30.6,0,,,N,46,14:09,20.6,61,,E,7,1018.3,29.4,33,,NNW,17,1013.9
,13/12/17,12.5,32.7,0,,,WNW,41,14:27,21.2,67,,ENE,6,1014.2,31.9,20,,W,22,1010.2
,14/12/17,13.6,32.9,0,,,NNW,56,12:41,25.8,46,4,NNW,9,1009.1,32.5,30,7,NW,20,1006.8
,15/12/17,17.9,30.5,3.2,,,N,46,20:01,19.2,85,8,NE,7,1013,28.8,45,8,NNW,20,1009.8
,16/12/17,14.1,32.6,0,,,NW,46,17:28,24,57,,WNW,6,1014.2,31.1,31,8,W,19,1011.8
,17/12/17,16.3,31.6,1.6,,,ENE,50,17:08,20.6,68,1,ENE,15,1017,30.1,42,1,NW,11,1013.3
,18/12/17,16.4,32.6,0.2,,,WNW,39,12:40,20.5,75,1,NNE,7,1013.7,29.6,43,1,WNW,19,1009.2
,19/12/17,18,34.3,0,,,N,43,11:51,25.2,47,7,S,7,1009.2,33.2,34,,NW,22,1004.9
,20/12/17,22.8,27.5,0.2,,,NW,52,08:47,26.3,51,8,WNW,17,1006.3,18.6,80,8,N,15,1010.5
,21/12/17,9.4,26.7,1.6,,,,,,17.9,69,,W,7,1017.6,24.5,44,8,N,13,1015.3
,22/12/17,12.5,29.5,0,,,WNW,31,15:23,19.4,69,8,WSW,6,1016.4,27.4,32,8,W,15,1012.1
,23/12/17,11.9,31.8,0,,,WNW,39,13:35,20.4,72,,NNE,6,1012.6,30.1,16,1,NW,20,1009
,24/12/17,13.2,34.8,0,,,ENE,57,18:12,20.6,47,7,SSE,9,1008.5,34,14,3,NW,31,1005.8
,25/12/17,13.4,23,0,,,ESE,39,16:29,15,66,8,ESE,15,1015.5,21.9,47,6,ESE,22,1014.7
,26/12/17,10.8,22.4,0,,,E,39,16:05,18.3,57,3,E,20,1018.7,21.8,48,8,E,24,1016.6
,27/12/17,15.8,29.1,0,,,NE,33,19:15,18.9,68,8,N,7,1018.1,26.4,37,1,NNW,13,1013.9
,28/12/17,12.9,32.4,0,,,NW,37,09:55,20.1,70,1,NW,7,1016.1,32.4,31,1,NNW,20,1013.1
,29/12/17,18.3,33.4,0,,,NW,46,12:45,24.7,56,7,SW,9,1013.3,31.3,33,8,W,26,1008.8
,30/12/17,18.6,28.3,16.4,,,WNW,50,12:57,22.8,70,6,NW,28,1005,27.8,33,,WNW,30,1004.3
,31/12/17,14.9,27.9,0,,,NNW,37,14:52,19.7,65,,NE,19,1010.8,26.2,37,1,NNW,17,1007.4
,01/01/18,11.6,30.2,0,,,E,43,17:55,19.2,72,,E,9,1007,27.7,23,,NNE,11,1003.7
,02/01/18,12.4,30.2,0,,,NW,41,12:34,19.5,64,,NE,7,1006.1,28.8,27,,W,28,1002.4
,03/01/18,13.6,26.9,0,,,E,41,15:22,18.4,65,,ENE,13,1009.6,25.4,37,4,N,11,1008.8
,04/01/18,10.7,29.7,0,,,NNW,30,16:46,16.3,72,8,SSE,6,1015.8,27.2,38,,NNW,7,1012.3
,05/01/18,11.1,34,0,,,WNW,39,15:32,21.2,46,,SSE,7,1015.9,33.2,21,,W,20,1012.5
,06/01/18,14.1,37.2,0,,,NW,54,12:56,22.6,60,,W,6,1016.2,35.8,19,,W,30,1012.1
,07/01/18,15.3,40.6,0,,,NW,52,14:10,28.6,37,,WNW,4,1014.2,37.4,17,1,NNW,31,1010.6
,08/01/18,22.6,32.8,0,,,NW,63,15:31,25.4,54,8,WNW,6,1013.9,31.8,35,5,WNW,19,1011.5
,09/01/18,18.5,32,0.2,,,WNW,46,10:58,22.3,65,2,WNW,6,1012.4,30.9,36,3,NW,28,1009.4
,10/01/18,15.6,26,5,,,E,37,18:11,17,80,8,ENE,15,1018.1,25.4,45,1,NNE,13,1015.7
,11/01/18,15.1,32,0,,,WNW,35,13:30,18.8,64,8,SE,9,1017,29.5,43,7,NNW,17,1013.6
,12/01/18,17.9,35,0,,,WNW,67,17:00,21.4,75,8,ESE,4,1012.1,32.3,35,8,N,26,1006.3
,13/01/18,19.2,24.8,3,,,NW,56,08:46,21.5,79,8,NNW,31,1000.3,23.5,35,,WNW,31,1001.1
,14/01/18,9.1,20.4,4.6,,,S,46,01:04,14,55,3,SSE,24,1008.9,17.8,45,7,S,30,1011.4
,15/01/18,8.3,26,0,,,S,56,15:50,13.4,59,8,S,26,1016,24.6,43,,SSE,30,1013.7
,16/01/18,10.9,25.4,0,,,SE,44,10:13,15.5,49,,SE,9,1020.2,24.4,27,,S,24,1017.1
,17/01/18,7.2,30.3,0,,,SW,41,13:35,16.3,50,,ESE,15,1019.1,27.3,12,,W,13,1015.8
,18/01/18,8.4,34.5,0,,,ENE,35,19:10,18.2,54,,WSW,7,1019.1,32.1,18,,NW,9,1015
,19/01/18,11,38.6,0,,,ENE,43,17:20,22.6,29,,SE,9,1016.9,37.5,10,,S,13,1012.6
,20/01/18,13.4,39.2,0,,,E,48,17:05,25.1,28,,S,9,1015.5,38,8,,ENE,26,1011.7
,21/01/18,12.3,39,0,,,WNW,37,11:46,25.2,30,,W,4,1013.2,37.3,8,,NW,22,1008.9
,22/01/18,14.9,32.9,0,,,NW,33,10:19,23.5,45,8, ,Calm,1010.3,32,21,8,WNW,9,1009.3
,23/01/18,20.4,37,0,,,,,,24.9,46,7,SSW,7,1012,36.1,19,,W,22,1008.6
,24/01/18,18.5,26.2,7.4,,,E,41,01:38,21.4,80,7,W,11,1010.9,25.2,57,7,S,6,1011.3
,25/01/18,17.8,31.7,0.8,,,WSW,46,13:00,21.8,70,3,SE,7,1012.2,30.3,36,4,SSW,20,1009.7
,26/01/18,16.6,32.9,0,,,E,54,17:12,23.4,71,,NW,6,1012.1,29.7,37,3,SW,24,1009.1
,27/01/18,17.7,29.7,0,,,E,52,17:33,23.1,69,8,WSW,7,1013.8,28.5,42,8,W,15,1011.3
,28/01/18,21.2,32.2,0,,,NE,39,17:03,24.2,67,8,ENE,13,1014.1,30.5,43,8,NE,15,1010.2
,29/01/18,14.4,33.8,0,,,NNW,31,10:33,21.1,67,,SSW,7,1013.6,33.2,24,,WNW,17,1008.6
,30/01/18,15.2,33.3,0,,,WNW,41,11:48,22.3,68,,NNW,6,1007.3,30.8,33,8,WSW,24,1002.9
,31/01/18,12.8,25.5,17,,,ESE,37,16:26,14.4,68,7,SSE,19,1008.3,22.9,32,,SE,13,1006.2
,01/02/18,6.9,22.2,0,,,SE,44,23:40,13.6,53,,SSE,17,1014.4,20.5,36,6,ESE,19,1012.9
,02/02/18,7.3,25.6,0,,,NE,41,17:00,15.2,64,1,SSW,9,1017.4,24.4,33,6,N,7,1014.3
,03/02/18,10.4,24.8,0,,,ESE,41,15:36,16.7,58,3,SSE,15,1020.6,23.3,38,8,SE,19,1018.6
,04/02/18,12.3,27.4,0,,,NNE,39,13:58,17.6,55,,SE,11,1023.2,25.9,33,2,NNE,26,1019.3
,05/02/18,9.9,30.8,0,,,ENE,37,18:27,17.3,70,, ,Calm,1020.7,28.5,29,,WNW,17,1016.1
,06/02/18,12,28.2,0,,,E,39,19:25,16.1,59,7,S,6,1020,26.7,29,1,W,19,1017.4
,07/02/18,12.6,32.5,0,,,NW,31,13:54,18.7,68,,SSE,6,1020.7,30.2,25,8,NW,17,1017
,08/02/18,14.2,35.4,0,,,NW,44,13:01,21.9,57,,WNW,4,1018.5,34.3,22,4,NW,20,1013.7
,09/02/18,20.1,36,0,,,SSE,41,13:33,25.9,43,1,NNE,6,1014.2,31.2,34,5,ESE,28,1011
,10/02/18,12.1,34.5,2,,,SW,57,19:38,19.6,70,,SE,7,1011.3,33.5,23,,NW,24,1005.7
,11/02/18,13.7,32.8,0.4,,,WNW,41,14:37,23.3,57,,NE,9,1004.1,31.5,14,,W,24,1001.8
,12/02/18,14.4,30,0,,,NW,44,14:34,18.1,68,2,NE,11,1007.6,29.1,18,,NW,28,1005.4
,13/02/18,16.5,31.2,0,,,ENE,41,18:07,18.5,72,7,ENE,11,1012.2,28.1,30,1,N,9,1008.2
,14/02/18,12.6,31.9,0,,,W,72,14:03,19.6,76,,N,4,1008.1,31,15,,W,48,1005.2
,15/02/18,8.9,29.8,0,,,W,48,13:50,16.7,69,,NNW,7,1014,29.1,9,,WNW,33,1010.1
,16/02/18,15.7,29.7,0,,,WNW,44,13:56,20.2,35,,NW,15,1010.7,28.1,23,,WNW,33,1008.8
,17/02/18,12.3,32,0,,,NNW,37,13:10,18.7,66,,NW,7,1014.1,29.4,20,,NNW,15,1009.7
,18/02/18,12.7,34.1,0,,,E,41,18:52,19.6,62,,ESE,6,1012.4,32.4,14,,NW,19,1009.1
,19/02/18,18,26.5,0,,,SE,44,14:30,21.8,68,8,E,9,1012.9,21.9,57,7,SE,28,1012.4
,20/02/18,13.6,21.7,0,,,SE,48,10:09,15.3,53,4,SE,28,1019.3,21,40,1,ESE,28,1017.5
,21/02/18,9,25.8,0,,,E,30,19:39,15.2,59,8,E,7,1018.8,24.7,27,,NNW,9,1014.7
,22/02/18,14,27.8,0,,,ENE,31,17:39,16.9,70,2,NE,6,1016.3,26.2,20,6,SW,11,1013.6
,23/02/18,14.2,32.5,0,,,NNW,35,13:26,18.4,69,8,ESE,7,1015.6,30.5,23,,W,19,1011.2
,24/02/18,15.9,35.1,0,,,W,76,18:54,26.4,44,1,NW,22,1009.7,32.7,33,3,NW,37,1004.6
,25/02/18,17.1,17.1,19.6,,,SE,35,07:48,17.1,99,8,ESE,20,1005.1,15.7,84,8,SE,15,1008.2
,26/02/18,11.5,21.7,64.4,,,E,48,14:27,13.5,89,8,S,9,1014.2,21,57,8,E,28,1013.8
,27/02/18,10.6,25.5,0,,,NE,30,12:19,15.1,69,,S,9,1018.3,24.3,44,,N,11,1014.8
,28/02/18,10.7,30.4,0,,,W,56,21:11,13.1,99,8,NE,4,1012.2,29.4,33,,WNW,28,1007.5
,01/03/18,12.7,27.1,0,,,S,35,10:31,18,61,,SE,11,1011.4,25.9,33,,SE,13,1010.6
,02/03/18,14.9,25,0,,,ENE,30,19:43,17.3,66,5,SSE,11,1014.8,23.1,47,5,NNW,13,1011.7
,03/03/18,13.9,30.9,0,,,WNW,37,15:34,18.4,76,1,N,6,1011,29,38,,NW,11,1007.8
,04/03/18,13.2,30.4,0,,,E,46,18:51,20.5,55,1,SSE,13,1012.3,27.9,45,1,NNE,19,1010.2
,05/03/18,16.5,24.6,0,,,ENE,46,16:25,18.4,76,8,ENE,11,1014.7,23,56,2,NNE,20,1013.4
,06/03/18,9.9,21.5,0,,,ESE,46,15:30,15.1,63,1,SSE,19,1023.6,18.9,57,7,ESE,31,1024
,07/03/18,8.9,23.3,0.2,,,E,39,19:13,14.7,89,8,SE,9,1026.8,22.9,41,4,E,17,1024.9
,08/03/18,7.6,25.5,0,,,ENE,37,17:47,12.6,73,,SE,9,1026.6,24,38,,E,13,1023.3
,09/03/18,8.9,26.3,0,,,NE,31,16:16,14.1,76,,SE,9,1028.1,25,39,,NNE,13,1023.9
,10/03/18,9.2,27.2,0,,,N,28,16:04,16.3,70,,SE,2,1028,25.3,40,,NW,9,1024
,11/03/18,9.9,31.5,0,,,ENE,31,16:57,15.4,81,,ESE,7,1024.2,30.3,23,,NE,7,1019.2
,12/03/18,10.7,29.8,0,,,E,44,16:46,17.8,63,,WSW,6,1018.4,28.6,29,,NW,11,1013.7
,13/03/18,14.7,21.6,0,,,ENE,31,17:41,14.7,75,8,SSE,15,1019.8,20,61,1,NE,7,1018.7
,14/03/18,14.4,26.9,0,,,NW,35,15:12,16.4,76,8,SSE,2,1020.3,24.8,47,,N,15,1015
,15/03/18,11.2,29.2,0,,,WNW,48,12:08,14.5,99,8,NE,6,1013,28.4,17,,WNW,22,1010.7
,16/03/18,14,27.1,0,,,NE,35,09:50,17.2,73,8,E,11,1017.7,25.1,41,,N,13,1014.5
,17/03/18,13.5,30.2,0.8,,,WNW,46,13:36,18.8,63,,WNW,9,1016.3,29.7,32,,W,26,1013.7
,18/03/18,11.5,33.7,0,,,NW,81,11:38,19.5,56,,S,4,1011.3,31.4,21,1,WNW,48,1007.4
,19/03/18,5.8,27.3,0,,,NNW,50,14:49,13.9,55,,S,7,1016.1,26.1,15,,NNW,35,1014.2
,20/03/18,5.2,25.2,0,,,ENE,44,15:58,14.4,47,,ESE,9,1022,23.9,44,4,ESE,22,1021.3
,21/03/18,12.7,19.8,0,,,E,46,12:27,14.9,67,8,SE,26,1029.1,16.6,58,8,ESE,31,1028.3
,22/03/18,10.4,19.6,0,,,E,41,14:34,13.7,77,8,SSE,17,1028.6,16.7,81,8,ESE,19,1026.3
,23/03/18,10.9,22.3,0.2,,,E,30,02:21,15.1,74,6,SSE,9,1025.1,20.6,55,8,E,17,1021.3
,24/03/18,9.3,27.1,0,,,NW,41,18:12,15.3,83,2,SSE,2,1019.1,24.9,49,2,WNW,20,1014.3
,25/03/18,11.2,25,0,,,NNW,46,09:17,21.8,54,7,NNW,31,1007.5,20.2,42,8,W,30,1005.8
,26/03/18,10.8,17.6,6,,,NW,44,09:08,11.6,48,,W,31,1007.5,17.1,34,,WNW,30,1007.8
,27/03/18,1.7,22.9,0,,,,,,7,77,,SE,9,1018,21.3,29,1,NE,15,1015.5
,28/03/18,7,28.3,,,,,,,15.1,81,8,SSW,4,1017.2,25.3,24,5,N,15,1014.5
,29/03/18,7.6,31.2,0,,,W,35,15:01,15.4,53,,ESE,7,1017.6,30.7,21,5,WSW,17,1013.4
,30/03/18,5.9,30.4,0,,,NNW,39,12:01,13.8,65,,N,9,1014.5,29.8,9,,WNW,26,1012.1
,31/03/18,8.5,27.5,0,,,NE,28,18:01,14.4,84,,SSE,6,1019.9,25.3,37,,N,11,1015.9
,01/04/18,9.1,29.1,0,,,,,,13.2,100,,W,6,1016.9,27.4,23,1,WNW,26,1014.3
,02/04/18,11.7,29.9,0,,,NNW,37,13:14,20.5,40,, ,Calm,1016.5,29.3,19,2,WSW,20,1014.1
,03/04/18,12.1,24.3,0,,,ENE,33,18:58,17.1,72,8,ENE,17,1023.2,23.2,44,,NNW,13,1019.6
,04/04/18,14.5,27.2,0,,,ENE,33,18:53,18.1,62,,E,15,1022.5,26.6,30,,NNW,7,1018
,05/04/18,10.1,28.9,0,,,NNW,33,11:40,18.1,70,,WNW,2,1018.8,27.8,32,,WNW,19,1014.7
,06/04/18,9.2,29.8,0,,,NW,48,12:46,19.4,55,,NNW,2,1019.3,28.7,14,,W,22,1016.2
,07/04/18,13.5,29.1,0,,,WNW,52,13:42,18.9,74,2,N,7,1021,28.3,10,,WNW,20,1017.4
,08/04/18,5.9,29.8,0,,,NW,50,13:12,13.3,80,,NNW,7,1021.9,29.6,17,,W,28,1017.1
,09/04/18,6.5,30.7,0,,,W,50,13:57,16.4,39,,E,4,1020,30,18,1,WSW,24,1016.1
,10/04/18,9.3,26.6,0,,,N,26,14:46,15.3,80,6,SW,6,1023.5,25.6,39,2,NW,9,1019.4
,11/04/18,9.1,31.8,0,,,WNW,37,12:53,18.2,65,,ESE,4,1022.7,30.3,24,,NW,22,1018.5
,12/04/18,10.2,30.3,0,,,NW,61,14:12,21.5,49,,NNE,7,1018.8,30,24,,NW,37,1012.9
,13/04/18,17.2,28.3,0,,,NW,93,17:38,20.8,42,1,NW,28,1013.9,26.9,30,2,NNW,28,1009.4
,14/04/18,13.9,20.2,12,,,NW,46,11:08,16.3,60,,NNW,28,1005.5,18.8,45,8,NW,24,1000.5
,15/04/18,9.7,18.2,2.4,,,NW,44,13:38,11.1,68,7,NW,22,1006,13.7,69,8,NW,30,1007
,16/04/18,11,18.8,0,,,,,,17.2,66,8,NW,30,1013,17.6,63,1,NW,35,1012.7
,17/04/18,7.1,23,0,,,,,,14.4,73,,,,1021.7,22.1,34,,WNW,9,1019.9
,18/04/18,8.5,21.9,0,,,NNW,19,15:03,12.8,75,8,SSW,7,1026.3,21.1,41,,NNW,7,1021.1
,19/04/18,5.2,24.2,0,,,NW,28,11:41,11.2,83,2, ,Calm,1022.3,23,47,,NW,13,1018.2
,20/04/18,6.8,25.3,0,,,E,33,17:11,15,67,,S,9,1022.8,24.5,32,,SSW,2,1019.1
,21/04/18,6,23.6,0,,,E,35,18:14,14,79,,S,9,1024.7,22.6,42,,NNE,13,1020.5
,22/04/18,10.8,19.5,0,,,NNE,17,06:38,14.5,76,1,NE,6,1024.5,18.2,64,8,SW,9,1021.5
,23/04/18,5.4,24.2,0.2,,,W,19,13:51,12.9,76,, ,Calm,1022.4,23.3,32,,WSW,9,1018.9
